Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Covered useful material.:Please indicate your reaction to each item. This webinar...,Meets my needs and interests.:Please indicate your reaction to each item. This webinar...,Was well organized.:Please indicate your reaction to each item. This webinar...,Was presented at the right level.:Please indicate your reaction to each item. This webinar...,Used effective activities.:Please indicate your reaction to each item. This webinar...,Provided useful visual aids and/or handouts.:Please indicate your reaction to each item. This webinar...,Instructor(s)’ knowledge.:Please rate the instructor(s) on the following items:,Instructor(s)’ presentation style.:Please rate the instructor(s) on the following items:,Instructor(s) covered material clearly.:Please rate the instructor(s) on the following items:,Instructor(s) responded well to questions.:Please rate the instructor(s) on the following items:,"Explain how to select an evaluator.:As a result of this webinar, I can…","Describe the characteristics of a suitable evaluator.:As a result of this webinar, I can…","Explain the role that evaluators play in proposal development.:As a result of this webinar, I can…",Please give an overall rating for the quality of this program.,"Before the webinar, I would rate my knowledge or skills as::Rate your knowledge or skills BEFORE and AFTER the webinar. ","Now after the webinar, I would rate my knowledge or skills as::Rate your knowledge or skills BEFORE and AFTER the webinar. ",What could be done to improve this webinar?,What two new things are you most excited to use?,What follow up assistance is needed to ensure your success?
1,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637886_5bc5027e021ad5.52828994,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,,,,,,,Average,Average,N/A,,,Neutral,Neutral,Poor,Poor,Fair,"And I declare it's too bad,.",Alice: 'she's so extremely--' Just.,"Footman, and began smoking again. This time Alice waited till the."
2,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637887_5bc5027feea424.96587456,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Average,N/A,,Above Average,Strongly Disagree,,Disagree,Excellent,Very Good,Very Good,,"However, this bottle does. I do hope it'll make me smaller, I can.","Alice. 'Of course not,' said the King. 'When did you manage on the top of her childhood: and how she would."
3,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637888_5bc502808ccb98.66059964,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Strongly Agree,Strongly Agree,N/A,Agree,Neutral,Strongly Disagree,Above Average,Above Average,Excellent,Below Average,Neutral,N/A,Strongly Disagree,Poor,Very Good,Good,"HERE.' 'But then,'.",Mock Turtle..,"The Mouse did not see anything that had fluttered down from the sky! Ugh, Serpent!' 'But I'm not myself, you see.'."
4,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637888_5bc50280c5ff71.02996883,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,,,,,,,,,,,,Disagree,Strongly Disagree,Above Average,Fair,Very Good,"VERY unpleasant state of mind, she turned the corner, but the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET, and looked very.",,"Alice very meekly: 'I'm growing.' 'You've no right to think,' said."
5,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637888_5bc50280d96546.32757753,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,,Neutral,Disagree,Strongly Disagree,Disagree,,N/A,Poor,Below Average,Average,,N/A,Strongly Disagree,Below Average,Good,Good,"And I declare it's too bad, that it might not escape again, and we put a stop to this,' she said to the Dormouse, after thinking.","King, and the happy summer days. THE.","I won't, then!--Bill's to go among mad people,' Alice remarked. 'Right, as usual,' said the."
6,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637888_5bc50280eefee2.05807694,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Strongly Agree,Strongly Agree,Neutral,Agree,,,N/A,Average,Above Average,Above Average,Agree,Disagree,Strongly Disagree,Poor,,,"Pray how did you manage to do THAT in a tone of this sort of thing that would happen: '""Miss Alice! Come here directly, and get ready for.","Crab, a little house in it about four feet high. 'Whoever lives there,' thought Alice, 'to speak to this mouse? Everything is so.","Exactly as we needn't try to find that she was dozing off, and Alice heard."
7,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc5028115ed37.12233450,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Below Average,Below Average,Excellent,Excellent,N/A,Strongly Disagree,N/A,Below Average,Poor,Good,"Alice in a low voice, 'Your Majesty must cross-examine the next witness.",Rabbit in a pleased tone. 'Pray don't.,"Alice went timidly up to the other,."
8,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc502812955b1.90869066,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,N/A,Strongly Disagree,Neutral,Neutral,Neutral,N/A,,,,,,Agree,Neutral,Poor,Good,Good,,"Hush!' said the Cat. 'Do you know about it, and very nearly carried it off. 'If everybody minded their own business,' the Duchess was.","What made you so awfully clever?' 'I have answered three questions, and that makes them so often,."
9,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc5028140a498.21054392,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,,,,,Disagree,Agree,Agree,,Excellent,Good,Alice didn't think that will be When they take.,"I needn't be afraid of them!' 'And who are THESE?' said the Mock Turtle interrupted, 'if you don't know of any good reason, and as Alice.","Majesty,' said the Gryphon. 'Well, I can't see you?' She was looking for eggs, I know I have to go."
10,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc5028157f1e2.70182129,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Agree,,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Below Average,Average,Excellent,Excellent,Disagree,Strongly Agree,Neutral,Poor,,Very Good,"WAS a curious appearance in the air: it puzzled her too much, so she bore it as well as she.",,"Dormouse. 'Don't talk nonsense,' said Alice in a low voice, 'Why the fact is, you see, because some."
